CDS	DNA	RNA
TOBG-MED-1076_1019	1.151156	0
TOBG-MED-1076_1027	0.655503	0
TOBG-MED-1076_1028	1.754032	0
TOBG-MED-1076_1032	1.090516	0
TOBG-MED-1076_1038	0.943838	0
TOBG-MED-1076_108	1.104433	0
TOBG-MED-1076_1086	1.965678	0
TOBG-MED-1076_1092	0.840013	0
TOBG-MED-1076_1093	0.862333	0
TOBG-MED-1076_1101	1.908486	5.678091
TOBG-MED-1076_1111	0.554674	0
TOBG-MED-1076_1117	7.616559	0
TOBG-MED-1076_1122	1.765718	0
TOBG-MED-1076_1127	1.707177	0
TOBG-MED-1076_1131	2.324501	0.655281
TOBG-MED-1076_1144	0.499215	0
TOBG-MED-1076_116	1.457937	0
TOBG-MED-1076_1163	0.972258	0
TOBG-MED-1076_1186	6.168816	0
TOBG-MED-1076_1192	0.592658	0
TOBG-MED-1076_1193	2.905443	0
TOBG-MED-1076_1195	1.086143	4.562654
TOBG-MED-1076_1200	3.324938	0
TOBG-MED-1076_1245	0.990653	0
TOBG-MED-1076_1246	6.329299	0
TOBG-MED-1076_1248	0.692203	1.168048
TOBG-MED-1076_1249	1.338199	0
TOBG-MED-1076_1252	0.509002	0
TOBG-MED-1076_1253	1.605704	0
TOBG-MED-1076_1298	1.500412	1.268016
TOBG-MED-1076_13	5.520848	17.653763
TOBG-MED-1076_1365	0.972107	0
TOBG-MED-1076_14	2.295947	0
TOBG-MED-1076_1403	2.851817	0
TOBG-MED-1076_1404	1.441745	0
TOBG-MED-1076_1409	2.760841	0
TOBG-MED-1076_1418	0.510002	0
TOBG-MED-1076_1423	0.87607	0
TOBG-MED-1076_1424	0.332827	0
TOBG-MED-1076_143	1.025882	0
TOBG-MED-1076_15	3.760529	0
TOBG-MED-1076_177	0.628526	0
TOBG-MED-1076_178	1.190752	0
TOBG-MED-1076_183	0.225164	1.499889
TOBG-MED-1076_188	1.118709	0
TOBG-MED-1076_200	2.109411	0
TOBG-MED-1076_225	1.893981	0
TOBG-MED-1076_227	3.282896	2.973975
TOBG-MED-1076_242	0.920417	0
TOBG-MED-1076_244	3.108612	0
TOBG-MED-1076_245	1.367809	0
TOBG-MED-1076_252	10.24496	5.836506
TOBG-MED-1076_253	2.897157	3.411204
TOBG-MED-1076_256	251.384032	0
TOBG-MED-1076_257	0.69599	0
TOBG-MED-1076_258	0.210898	0
TOBG-MED-1076_26	25.054685	0
TOBG-MED-1076_265	3.839791	57.79114
TOBG-MED-1076_272	0.428379	0
TOBG-MED-1076_278	0.256027	81.29381
TOBG-MED-1076_284	0.622498	0
TOBG-MED-1076_31	0.331976	0
TOBG-MED-1076_312	3.241904	0
TOBG-MED-1076_326	0.323698	0
TOBG-MED-1076_338	1.993856	7.340686
TOBG-MED-1076_348	2.104665	0
TOBG-MED-1076_353	0.711163	0
TOBG-MED-1076_364	4.097689	0
TOBG-MED-1076_377	27.203882	278.833686
TOBG-MED-1076_386	0.75238	0
TOBG-MED-1076_413	1.022011	0
TOBG-MED-1076_426	0.748045	0
TOBG-MED-1076_429	0.672481	0
TOBG-MED-1076_435	1.158649	0
TOBG-MED-1076_443	1.387799	181.565467
TOBG-MED-1076_458	1.263168	0
TOBG-MED-1076_464	0.421426	0
TOBG-MED-1076_48	0.393931	0
TOBG-MED-1076_513	0.68671	0
TOBG-MED-1076_519	99.266049	0
TOBG-MED-1076_521	0.390965	0
TOBG-MED-1076_53	90.887364	0
TOBG-MED-1076_530	6.102795	0
TOBG-MED-1076_535	274.467109	63.10011
TOBG-MED-1076_545	83.795862	0
TOBG-MED-1076_549	0.31698	2.910816
TOBG-MED-1076_55	1.003332	0
TOBG-MED-1076_561	3.313299	0
TOBG-MED-1076_579	1.158649	3.962778
TOBG-MED-1076_580	3.460503	0
TOBG-MED-1076_662	1.965678	0
TOBG-MED-1076_663	3.282896	0
TOBG-MED-1076_664	3.127071	2.664897
TOBG-MED-1076_676	0.587296	0
TOBG-MED-1076_719	9.263059	33.428431
TOBG-MED-1076_720	6.209313	0
TOBG-MED-1076_745	0.681304	0
TOBG-MED-1076_747	11.156647	9.990168
TOBG-MED-1076_748	2.98132	0
TOBG-MED-1076_755	1.734423	1.458636
TOBG-MED-1076_756	1.554306	0
TOBG-MED-1076_770	2.065594	0
TOBG-MED-1076_792	57.121723	0
TOBG-MED-1076_836	1.599111	0
TOBG-MED-1076_841	1.291176	0
TOBG-MED-1076_856	1.680026	8.540695
TOBG-MED-1076_86	1.069794	2.384204
TOBG-MED-1076_869	0.537451	0
TOBG-MED-1076_876	3.124849	0
TOBG-MED-1076_88	0.930311	0
TOBG-MED-1076_885	1.020004	0
TOBG-MED-1076_893	0.359064	0
TOBG-MED-1076_901	0.407534	0
TOBG-MED-1076_905	1.63249	0
TOBG-MED-1076_98	0.351291	0
TOBG-MED-1094_1079	0.859478	0
TOBG-MED-1094_1080	0.798769	0
TOBG-MED-1094_1081	0.777153	0
TOBG-MED-1094_1108	1.196238	0
TOBG-MED-1094_1259	0.487994	0
TOBG-MED-1094_1274	0.735333	0
TOBG-MED-1094_1311	0.291368	0
TOBG-MED-1094_1359	1.9959	0
TOBG-MED-1094_138	0.578141	1.458636
TOBG-MED-1094_1399	0.250349	0
TOBG-MED-1094_175	0.445979	0
TOBG-MED-1094_217	2.844992	0
TOBG-MED-1094_218	1.346414	0
TOBG-MED-1094_219	5.134668	2.39849
TOBG-MED-1094_220	0.390917	0
TOBG-MED-1094_223	1.333356	0
TOBG-MED-1094_225	0.366628	0
TOBG-MED-1094_227	2.181412	0
TOBG-MED-1094_229	2.626031	0
TOBG-MED-1094_292	0.327785	1.094892
TOBG-MED-1094_306	1.526505	0
TOBG-MED-1094_32	1.553914	0
TOBG-MED-1094_336	0.320107	0
TOBG-MED-1094_353	0.653852	0
TOBG-MED-1094_465	1.128434	0
TOBG-MED-1094_467	0.399385	0
TOBG-MED-1094_487	0.445979	0
TOBG-MED-1094_513	0.378453	0
TOBG-MED-1094_535	0.94728	0
TOBG-MED-1094_539	3.296067	0
TOBG-MED-1094_540	0.743759	0
TOBG-MED-1094_541	0.688531	0
TOBG-MED-1094_544	0.801133	0
TOBG-MED-1094_548	3.530423	0
TOBG-MED-1094_549	1.324101	0
TOBG-MED-1094_550	0.4	0
TOBG-MED-1094_551	0.553491	0
TOBG-MED-1094_583	0.359064	0.900321
TOBG-MED-1094_66	1.109151	0
TOBG-MED-1094_673	2.844992	0
TOBG-MED-1094_674	1.346414	0
TOBG-MED-1094_676	0.390917	0
TOBG-MED-1094_679	1.333356	0
TOBG-MED-1094_681	0.366628	0
TOBG-MED-1094_787	2.003085	0
TOBG-MED-1094_795	2.83624	0
TOBG-MED-1094_843	0.320898	0
TOBG-MED-1094_865	1.201821	1.411116
TOBG-MED-1094_96	1.201821	1.411116
TOBG-MED-1116_1	8992.014867	0
TOBG-MED-1116_10	0.994448	0
TOBG-MED-1116_101	1.123551	0
TOBG-MED-1116_103	0.824017	0
TOBG-MED-1116_104	0.756766	0
TOBG-MED-1116_109	4.290483	0
TOBG-MED-1116_11	1.050794	0
TOBG-MED-1116_110	6.11975	0
TOBG-MED-1116_111	2.561476	0
TOBG-MED-1116_112	1.43952	0
TOBG-MED-1116_117	8.925791	0
TOBG-MED-1116_118	1.611794	0
TOBG-MED-1116_119	5.87665	7.498595
TOBG-MED-1116_120	0.483414	0
TOBG-MED-1116_121	2.126689	0
TOBG-MED-1116_123	0.879867	0
TOBG-MED-1116_124	3.051397	0
TOBG-MED-1116_125	0.885871	0
TOBG-MED-1116_129	2.352585	0
TOBG-MED-1116_130	2.436924	0
TOBG-MED-1116_132	3.566168	0
TOBG-MED-1116_136	11.133431	0
TOBG-MED-1116_137	4.155792	0
TOBG-MED-1116_138	9.043064	3.127436
TOBG-MED-1116_139	10.519746	0
TOBG-MED-1116_140	13.92592	0
TOBG-MED-1116_141	1.13336	0
TOBG-MED-1116_143	2.518675	6.716821
TOBG-MED-1116_144	0.653919	0
TOBG-MED-1116_146	1.685018	0
TOBG-MED-1116_148	3.264115	0
TOBG-MED-1116_149	21.631959	0
TOBG-MED-1116_150	3.844045	0
TOBG-MED-1116_154	0.772334	0
TOBG-MED-1116_162	9.075472	0
TOBG-MED-1116_163	6.72481	0
TOBG-MED-1116_164	2.436924	0
TOBG-MED-1116_165	4.175481	0
TOBG-MED-1116_167	1.059369	0
TOBG-MED-1116_168	1.936962	0
TOBG-MED-1116_169	4.185772	0
TOBG-MED-1116_17	1.390686	0
TOBG-MED-1116_170	1.790066	0
TOBG-MED-1116_172	7.235087	62.181828
TOBG-MED-1116_173	76.628613	0
TOBG-MED-1116_174	5.784369	0
TOBG-MED-1116_175	4.051287	3.722717
TOBG-MED-1116_176	1.263168	0
TOBG-MED-1116_177	0.748045	0
TOBG-MED-1116_178	2.717496	0
TOBG-MED-1116_179	1.587571	0
TOBG-MED-1116_18	0.913937	0
TOBG-MED-1116_180	0.943838	0
TOBG-MED-1116_183	0.587296	0
