KO_ID	Category1
K00360	Nitrogen metabolism
K00362	Nitrogen metabolism
K00363	Nitrogen metabolism
K00366	Nitrogen metabolism
K00367	Nitrogen metabolism
K00368	Nitrogen metabolism
K00370	Nitrogen metabolism
K00371	Nitrogen metabolism
K00372	Nitrogen metabolism
K00374	Nitrogen metabolism
K00376	Nitrogen metabolism
K00531	Nitrogen metabolism
K02305	Nitrogen metabolism
K02567	Nitrogen metabolism
K02568	Nitrogen metabolism
K02586	Nitrogen metabolism
K02588	Nitrogen metabolism
K02591	Nitrogen metabolism
K03385	Nitrogen metabolism
K04561	Nitrogen metabolism
K10534	Nitrogen metabolism
K10535	Nitrogen metabolism
K10944	Nitrogen metabolism
K10945	Nitrogen metabolism
K10946	Nitrogen metabolism
K15864	Nitrogen metabolism
K15876	Nitrogen metabolism
K15877	Nitrogen metabolism
K17877	Nitrogen metabolism
K00018	Methane metabolism
K00024	Methane metabolism
K00192	Methane metabolism
K00193	Methane metabolism
K00194	Methane metabolism
K00195	Methane metabolism
K00197	Methane metabolism
K00200	Methane metabolism
K00201	Methane metabolism
K00202	Methane metabolism
K00203	Methane metabolism
K00204	Methane metabolism
K00205	Methane metabolism
K00319	Methane metabolism
K00320	Methane metabolism
K00399	Methane metabolism
K00401	Methane metabolism
K00402	Methane metabolism
K00577	Methane metabolism
K00578	Methane metabolism
K00579	Methane metabolism
K00580	Methane metabolism
K00581	Methane metabolism
K00582	Methane metabolism
K00583	Methane metabolism
K00584	Methane metabolism
K00600	Methane metabolism
K00625	Methane metabolism
K00672	Methane metabolism
K00830	Methane metabolism
K00850	Methane metabolism
K00863	Methane metabolism
K00925	Methane metabolism
K01499	Methane metabolism
K01595	Methane metabolism
K01624	Methane metabolism
K01689	Methane metabolism
K01895	Methane metabolism
K03388	Methane metabolism
K03389	Methane metabolism
K03390	Methane metabolism
K03841	Methane metabolism
K04480	Methane metabolism
K05884	Methane metabolism
K05979	Methane metabolism
K06034	Methane metabolism
K08093	Methane metabolism
K08094	Methane metabolism
K08097	Methane metabolism
K08691	Methane metabolism
K08692	Methane metabolism
K10944	Methane metabolism
K10945	Methane metabolism
K10946	Methane metabolism
K10977	Methane metabolism
K10978	Methane metabolism
K11212	Methane metabolism
K11260	Methane metabolism
K11261	Methane metabolism
K11529	Methane metabolism
K11779	Methane metabolism
K11780	Methane metabolism
K11781	Methane metabolism
K12234	Methane metabolism
K13039	Methane metabolism
K13788	Methane metabolism
K13812	Methane metabolism
K13831	Methane metabolism
K13942	Methane metabolism
K14028	Methane metabolism
K14029	Methane metabolism
K14067	Methane metabolism
K14080	Methane metabolism
K14081	Methane metabolism
K14082	Methane metabolism
K14083	Methane metabolism
K14084	Methane metabolism
K14941	Methane metabolism
K16157	Methane metabolism
K16158	Methane metabolism
K16159	Methane metabolism
K16160	Methane metabolism
K16161	Methane metabolism
K16162	Methane metabolism
K16176	Methane metabolism
K16177	Methane metabolism
K16178	Methane metabolism
K16179	Methane metabolism
K16370	Methane metabolism
K16792	Methane metabolism
K16793	Methane metabolism
K17066	Methane metabolism
K17100	Methane metabolism
K00380	Sulfur metabolism
K00381	Sulfur metabolism
K00390	Sulfur metabolism
K00392	Sulfur metabolism
K00394	Sulfur metabolism
K00395	Sulfur metabolism
K00860	Sulfur metabolism
K00955	Sulfur metabolism
K00956	Sulfur metabolism
K00957	Sulfur metabolism
K00958	Sulfur metabolism
K08738	Sulfur metabolism
K11180	Sulfur metabolism
K11181	Sulfur metabolism
K13811	Sulfur metabolism
K17222	Sulfur metabolism
K17223	Sulfur metabolism
K17224	Sulfur metabolism
K17225	Sulfur metabolism
K17226	Sulfur metabolism
K17227	Sulfur metabolism
K02689	Photosynthesis
K02690	Photosynthesis
K02691	Photosynthesis
K02692	Photosynthesis
K02693	Photosynthesis
K02694	Photosynthesis
K02703	Photosynthesis
K02704	Photosynthesis
K02705	Photosynthesis
K02706	Photosynthesis
K02707	Photosynthesis
K02708	Photosynthesis
K08928	Photosynthesis
K08929	Photosynthesis
K08940	Photosynthesis
K08941	Photosynthesis
K08942	Photosynthesis
K08943	Photosynthesis
K00234	ATP synthesis
K00235	ATP synthesis
K00236	ATP synthesis
K00237	ATP synthesis
K00239	ATP synthesis
K00240	ATP synthesis
K00241	ATP synthesis
K00242	ATP synthesis
K00244	ATP synthesis
K00245	ATP synthesis
K00246	ATP synthesis
K00247	ATP synthesis
K00330	ATP synthesis
K00331	ATP synthesis
K00332	ATP synthesis
K00333	ATP synthesis
K00334	ATP synthesis
K00335	ATP synthesis
K00336	ATP synthesis
K00337	ATP synthesis
K00338	ATP synthesis
K00339	ATP synthesis
K00340	ATP synthesis
K00341	ATP synthesis
K00342	ATP synthesis
K00343	ATP synthesis
K00404	ATP synthesis
K00405	ATP synthesis
K00406	ATP synthesis
K00407	ATP synthesis
K00410	ATP synthesis
K00411	ATP synthesis
K00412	ATP synthesis
K00413	ATP synthesis
K00414	ATP synthesis
K00415	ATP synthesis
K00416	ATP synthesis
K00417	ATP synthesis
K00418	ATP synthesis
K00419	ATP synthesis
K00420	ATP synthesis
K00425	ATP synthesis
K00426	ATP synthesis
K01549	ATP synthesis
K02107	ATP synthesis
K02108	ATP synthesis
K02109	ATP synthesis
K02110	ATP synthesis
K02111	ATP synthesis
K02112	ATP synthesis
K02113	ATP synthesis
K02114	ATP synthesis
K02115	ATP synthesis
K02117	ATP synthesis
K02118	ATP synthesis
K02119	ATP synthesis
K02120	ATP synthesis
K02121	ATP synthesis
K02122	ATP synthesis
K02123	ATP synthesis
K02124	ATP synthesis
K02125	ATP synthesis
K02126	ATP synthesis
K02127	ATP synthesis
K02128	ATP synthesis
K02129	ATP synthesis
K02130	ATP synthesis
K02131	ATP synthesis
K02132	ATP synthesis
K02133	ATP synthesis
K02134	ATP synthesis
K02135	ATP synthesis
K02136	ATP synthesis
K02137	ATP synthesis
K02138	ATP synthesis
K02139	ATP synthesis
K02140	ATP synthesis
K02141	ATP synthesis
K02142	ATP synthesis
K02143	ATP synthesis
K02144	ATP synthesis
K02145	ATP synthesis
K02146	ATP synthesis
K02147	ATP synthesis
K02148	ATP synthesis
K02149	ATP synthesis
K02150	ATP synthesis
K02151	ATP synthesis
K02152	ATP synthesis
K02153	ATP synthesis
K02154	ATP synthesis
K02155	ATP synthesis
K02256	ATP synthesis
K02257	ATP synthesis
K02258	ATP synthesis
K02259	ATP synthesis
K02260	ATP synthesis
K02261	ATP synthesis
K02262	ATP synthesis
K02263	ATP synthesis
K02264	ATP synthesis
K02265	ATP synthesis
K02266	ATP synthesis
K02267	ATP synthesis
K02268	ATP synthesis
K02269	ATP synthesis
K02270	ATP synthesis
K02271	ATP synthesis
K02272	ATP synthesis
K02273	ATP synthesis
K02274	ATP synthesis
K02275	ATP synthesis
K02276	ATP synthesis
K02277	ATP synthesis
K02297	ATP synthesis
K02298	ATP synthesis
K02299	ATP synthesis
K02300	ATP synthesis
K02634	ATP synthesis
K02635	ATP synthesis
K02636	ATP synthesis
K02637	ATP synthesis
K02640	ATP synthesis
K02642	ATP synthesis
K02643	ATP synthesis
K02826	ATP synthesis
K02827	ATP synthesis
K02828	ATP synthesis
K02829	ATP synthesis
K03661	ATP synthesis
K03662	ATP synthesis
K03689	ATP synthesis
K03878	ATP synthesis
K03879	ATP synthesis
K03880	ATP synthesis
K03881	ATP synthesis
K03882	ATP synthesis
K03883	ATP synthesis
K03884	ATP synthesis
K03886	ATP synthesis
K03887	ATP synthesis
K03888	ATP synthesis
K03889	ATP synthesis
K03890	ATP synthesis
K03891	ATP synthesis
K03934	ATP synthesis
K03935	ATP synthesis
K03936	ATP synthesis
K03937	ATP synthesis
K03938	ATP synthesis
K03939	ATP synthesis
K03940	ATP synthesis
K03941	ATP synthesis
K03942	ATP synthesis
K03943	ATP synthesis
K03944	ATP synthesis
K03945	ATP synthesis
K03946	ATP synthesis
K03947	ATP synthesis
K03948	ATP synthesis
K03949	ATP synthesis
K03950	ATP synthesis
K03951	ATP synthesis
K03952	ATP synthesis
K03953	ATP synthesis
K03954	ATP synthesis
K03955	ATP synthesis
K03956	ATP synthesis
K03957	ATP synthesis
K03958	ATP synthesis
K03959	ATP synthesis
K03960	ATP synthesis
K03961	ATP synthesis
K03962	ATP synthesis
K03963	ATP synthesis
K03964	ATP synthesis
K03965	ATP synthesis
K03966	ATP synthesis
K03967	ATP synthesis
K03968	ATP synthesis
K05572	ATP synthesis
K05573	ATP synthesis
K05574	ATP synthesis
K05575	ATP synthesis
K05576	ATP synthesis
K05577	ATP synthesis
