Gene	KO_ID
TOBG-MED-1076_1019	NA
TOBG-MED-1076_1027	NA
TOBG-MED-1076_1028	K04084
TOBG-MED-1076_1032	NA
TOBG-MED-1076_1038	K05540
TOBG-MED-1076_108	NA
TOBG-MED-1076_1086	K03271
TOBG-MED-1076_1092	NA
TOBG-MED-1076_1093	K13292
TOBG-MED-1076_1101	K01940
TOBG-MED-1076_1111	NA
TOBG-MED-1076_1117	K02956
TOBG-MED-1076_1122	NA
TOBG-MED-1076_1127	NA
TOBG-MED-1076_1131	K01696
TOBG-MED-1076_1144	K03217
TOBG-MED-1076_116	K00806
TOBG-MED-1076_1163	NA
TOBG-MED-1076_1186	NA
TOBG-MED-1076_1192	NA
TOBG-MED-1076_1193	K13444
TOBG-MED-1076_1195	NA
TOBG-MED-1076_1200	NA
TOBG-MED-1076_1245	K00615
TOBG-MED-1076_1246	K06920
TOBG-MED-1076_1248	NA
TOBG-MED-1076_1249	NA
TOBG-MED-1076_1252	K01835
TOBG-MED-1076_1253	K01810
TOBG-MED-1076_1298	K00347
TOBG-MED-1076_13	NA
TOBG-MED-1076_1365	NA
TOBG-MED-1076_14	NA
TOBG-MED-1076_1403	NA
TOBG-MED-1076_1404	NA
TOBG-MED-1076_1409	NA
TOBG-MED-1076_1418	K01652
TOBG-MED-1076_1423	NA
TOBG-MED-1076_1424	NA
TOBG-MED-1076_143	NA
TOBG-MED-1076_15	NA
TOBG-MED-1076_177	K01669
TOBG-MED-1076_178	K06876
TOBG-MED-1076_183	NA
TOBG-MED-1076_188	NA
TOBG-MED-1076_200	NA
TOBG-MED-1076_225	K03550
TOBG-MED-1076_227	NA
TOBG-MED-1076_242	NA
TOBG-MED-1076_244	NA
TOBG-MED-1076_245	K03070
TOBG-MED-1076_252	K02115
TOBG-MED-1076_253	K02111
TOBG-MED-1076_256	NA
TOBG-MED-1076_257	K03046
TOBG-MED-1076_258	K03043
TOBG-MED-1076_26	NA
TOBG-MED-1076_265	K02358
TOBG-MED-1076_272	K03798
TOBG-MED-1076_278	NA
TOBG-MED-1076_284	NA
TOBG-MED-1076_31	K03696
TOBG-MED-1076_312	K07447
TOBG-MED-1076_326	K01873
TOBG-MED-1076_338	K15987
TOBG-MED-1076_348	NA
TOBG-MED-1076_353	NA
TOBG-MED-1076_364	K02065
TOBG-MED-1076_377	NA
TOBG-MED-1076_386	K03665
TOBG-MED-1076_413	K03307
TOBG-MED-1076_426	NA
TOBG-MED-1076_429	K01805
TOBG-MED-1076_435	NA
TOBG-MED-1076_443	NA
TOBG-MED-1076_458	NA
TOBG-MED-1076_464	K01303
TOBG-MED-1076_48	NA
TOBG-MED-1076_513	K01251
TOBG-MED-1076_519	NA
TOBG-MED-1076_521	NA
TOBG-MED-1076_53	NA
TOBG-MED-1076_530	NA
TOBG-MED-1076_535	NA
TOBG-MED-1076_545	NA
TOBG-MED-1076_549	K03070
TOBG-MED-1076_55	NA
TOBG-MED-1076_561	NA
TOBG-MED-1076_579	NA
TOBG-MED-1076_580	NA
TOBG-MED-1076_662	K07082
TOBG-MED-1076_663	K07107
TOBG-MED-1076_664	K07058
TOBG-MED-1076_676	K02112
TOBG-MED-1076_719	NA
TOBG-MED-1076_720	K02014
TOBG-MED-1076_745	K03316
TOBG-MED-1076_747	K07560
TOBG-MED-1076_748	NA
TOBG-MED-1076_755	K04567
TOBG-MED-1076_756	K00318
TOBG-MED-1076_770	K03076
TOBG-MED-1076_792	NA
TOBG-MED-1076_836	K04077
TOBG-MED-1076_841	K01142
TOBG-MED-1076_856	K05962
TOBG-MED-1076_86	K10807
TOBG-MED-1076_869	NA
TOBG-MED-1076_876	K03786
TOBG-MED-1076_88	K03734
TOBG-MED-1076_885	NA
TOBG-MED-1076_893	K03168
TOBG-MED-1076_901	K03587
TOBG-MED-1076_905	K02563
TOBG-MED-1076_98	K02519
TOBG-MED-1094_1079	NA
TOBG-MED-1094_1080	NA
TOBG-MED-1094_1081	NA
TOBG-MED-1094_1108	K01881
TOBG-MED-1094_1259	K11942
TOBG-MED-1094_1274	K00031
TOBG-MED-1094_1311	NA
TOBG-MED-1094_1359	NA
TOBG-MED-1094_138	K01880
TOBG-MED-1094_1399	K03070
TOBG-MED-1094_175	K00946
TOBG-MED-1094_217	K05349
TOBG-MED-1094_218	K01136
TOBG-MED-1094_219	NA
TOBG-MED-1094_220	K13444
TOBG-MED-1094_223	NA
TOBG-MED-1094_225	NA
TOBG-MED-1094_227	NA
TOBG-MED-1094_229	NA
TOBG-MED-1094_292	NA
TOBG-MED-1094_306	K02003
TOBG-MED-1094_32	K01358
TOBG-MED-1094_336	K01872
TOBG-MED-1094_353	K00185
TOBG-MED-1094_465	NA
TOBG-MED-1094_467	K00962
TOBG-MED-1094_487	K00946
TOBG-MED-1094_513	K15987
TOBG-MED-1094_535	K01784
TOBG-MED-1094_539	K01791
TOBG-MED-1094_540	K02472
TOBG-MED-1094_541	NA
TOBG-MED-1094_544	NA
TOBG-MED-1094_548	K02501
TOBG-MED-1094_549	K02500
TOBG-MED-1094_550	NA
TOBG-MED-1094_551	NA
TOBG-MED-1094_583	NA
TOBG-MED-1094_66	K03438
TOBG-MED-1094_673	K05349
TOBG-MED-1094_674	K01136
TOBG-MED-1094_676	K13444
TOBG-MED-1094_679	NA
TOBG-MED-1094_681	NA
TOBG-MED-1094_787	K02355
TOBG-MED-1094_795	K02982
TOBG-MED-1094_843	NA
TOBG-MED-1094_865	K03596
TOBG-MED-1094_96	K03596
TOBG-MED-1116_1	NA
TOBG-MED-1116_10	NA
TOBG-MED-1116_101	NA
TOBG-MED-1116_103	K03526
TOBG-MED-1116_104	K00928
TOBG-MED-1116_109	K00620
TOBG-MED-1116_11	K07031
TOBG-MED-1116_110	K03070
TOBG-MED-1116_111	K01962
TOBG-MED-1116_112	NA
TOBG-MED-1116_117	K05527
TOBG-MED-1116_118	NA
TOBG-MED-1116_119	K09882
TOBG-MED-1116_120	K09883
TOBG-MED-1116_121	K09125
TOBG-MED-1116_123	K07090
TOBG-MED-1116_124	NA
TOBG-MED-1116_125	K00254
TOBG-MED-1116_129	K00821
TOBG-MED-1116_130	NA
TOBG-MED-1116_132	NA
TOBG-MED-1116_136	K01524
TOBG-MED-1116_137	K00937
TOBG-MED-1116_138	K03495
TOBG-MED-1116_139	K03501
TOBG-MED-1116_140	K03496
TOBG-MED-1116_141	K03497
TOBG-MED-1116_143	K03643
TOBG-MED-1116_144	K01869
TOBG-MED-1116_146	K06997
TOBG-MED-1116_148	NA
TOBG-MED-1116_149	K06876
TOBG-MED-1116_150	K09769
TOBG-MED-1116_154	K03562
TOBG-MED-1116_162	K00796
TOBG-MED-1116_163	K03431
TOBG-MED-1116_164	K00941
TOBG-MED-1116_165	K01939
TOBG-MED-1116_167	K03089
TOBG-MED-1116_168	K06180
TOBG-MED-1116_169	K09972
TOBG-MED-1116_17	NA
TOBG-MED-1116_170	K09971
TOBG-MED-1116_172	K09969
TOBG-MED-1116_173	NA
TOBG-MED-1116_174	K01873
TOBG-MED-1116_175	NA
TOBG-MED-1116_176	K01669
TOBG-MED-1116_177	NA
TOBG-MED-1116_178	K09701
TOBG-MED-1116_179	K00574
TOBG-MED-1116_18	NA
TOBG-MED-1116_180	NA
TOBG-MED-1116_183	K07793
TOBG-MED-1116_186	NA
TOBG-MED-1116_187	NA
TOBG-MED-1116_188	NA
TOBG-MED-1116_189	NA
TOBG-MED-1116_190	NA
TOBG-MED-1116_191	NA
TOBG-MED-1116_192	NA
TOBG-MED-1116_193	NA
TOBG-MED-1116_194	NA
TOBG-MED-1116_195	K17103
TOBG-MED-1116_197	K00031
TOBG-MED-1116_198	K01872
TOBG-MED-1116_199	K03553
TOBG-MED-1116_2	NA
TOBG-MED-1116_202	K00799
TOBG-MED-1116_203	K06204
TOBG-MED-1116_204	NA
TOBG-MED-1116_205	NA
TOBG-MED-1116_206	K03502
TOBG-MED-1116_207	K03503
TOBG-MED-1116_208	NA
TOBG-MED-1116_209	NA
TOBG-MED-1116_211	NA
TOBG-MED-1116_212	NA
TOBG-MED-1116_213	NA
TOBG-MED-1116_215	NA
TOBG-MED-1116_217	K02358
TOBG-MED-1116_218	K02601
TOBG-MED-1116_219	K02867
TOBG-MED-1116_223	K03043
TOBG-MED-1116_224	K03046
TOBG-MED-1116_226	K02992
TOBG-MED-1116_227	K02355
TOBG-MED-1116_229	K02906
TOBG-MED-1116_23	NA
TOBG-MED-1116_230	K02926
TOBG-MED-1116_232	K02886
TOBG-MED-1116_235	K02982
TOBG-MED-1116_236	K02878
TOBG-MED-1116_241	K02931
TOBG-MED-1116_243	K02994
TOBG-MED-1116_244	K02933
TOBG-MED-1116_252	K03040
TOBG-MED-1116_256	K03801
TOBG-MED-1116_257	K06213
TOBG-MED-1116_260	K00012
TOBG-MED-1116_263	NA
TOBG-MED-1116_264	NA
TOBG-MED-1116_266	NA
TOBG-MED-1116_267	NA
TOBG-MED-1116_269	K01141
TOBG-MED-1116_270	K03671
TOBG-MED-1116_272	K11754
TOBG-MED-1116_273	NA
TOBG-MED-1116_275	NA
TOBG-MED-1116_276	K01817
TOBG-MED-1116_277	NA
TOBG-MED-1116_279	K02945
TOBG-MED-1116_28	NA
TOBG-MED-1116_280	K00800
TOBG-MED-1116_281	NA
TOBG-MED-1116_285	NA
TOBG-MED-1116_287	K06153
TOBG-MED-1116_288	K00266
TOBG-MED-1116_289	K00265
TOBG-MED-1116_290	NA
TOBG-MED-1116_292	NA
TOBG-MED-1116_293	K01868
TOBG-MED-1116_297	K01889
TOBG-MED-1116_298	K01890
TOBG-MED-1116_299	K03596
TOBG-MED-1116_30	NA
TOBG-MED-1116_300	K10046
TOBG-MED-1116_301	NA
TOBG-MED-1116_302	NA
TOBG-MED-1116_303	NA
TOBG-MED-1116_306	NA
TOBG-MED-1116_307	NA
TOBG-MED-1116_310	NA
TOBG-MED-1116_311	NA
TOBG-MED-1116_312	NA
TOBG-MED-1116_313	NA
TOBG-MED-1116_317	K17716
TOBG-MED-1116_32	NA
TOBG-MED-1116_320	NA
TOBG-MED-1116_321	NA
TOBG-MED-1116_322	K03498
TOBG-MED-1116_323	K03086
TOBG-MED-1116_324	NA
TOBG-MED-1116_325	K07323
TOBG-MED-1116_328	K03925
TOBG-MED-1116_329	K03531
TOBG-MED-1116_33	NA
TOBG-MED-1116_330	K03438
TOBG-MED-1116_332	NA
TOBG-MED-1116_333	K01928
TOBG-MED-1116_334	K01929
TOBG-MED-1116_335	K01000
TOBG-MED-1116_337	NA
TOBG-MED-1116_338	K02563
TOBG-MED-1116_339	K01924
TOBG-MED-1116_340	K00075
TOBG-MED-1116_343	K03590
TOBG-MED-1116_344	K02535
TOBG-MED-1116_345	K05807
TOBG-MED-1116_346	K01972
TOBG-MED-1116_347	NA
TOBG-MED-1116_348	NA
TOBG-MED-1116_349	K03657
TOBG-MED-1116_35	NA
TOBG-MED-1116_350	K00971
TOBG-MED-1116_351	K01142
TOBG-MED-1116_352	NA
TOBG-MED-1116_353	K01129
TOBG-MED-1116_354	K01887
TOBG-MED-1116_356	NA
TOBG-MED-1116_357	K05896
TOBG-MED-1116_358	K06024
TOBG-MED-1116_359	K03116
TOBG-MED-1116_362	K01875
TOBG-MED-1116_363	K08305
TOBG-MED-1116_365	K07258
TOBG-MED-1116_367	NA
TOBG-MED-1116_368	K01874
TOBG-MED-1116_370	NA
TOBG-MED-1116_371	NA
TOBG-MED-1116_373	K23010
TOBG-MED-1116_374	K00773
TOBG-MED-1116_375	NA
TOBG-MED-1116_377	K02469
TOBG-MED-1116_378	K03111
TOBG-MED-1116_379	K03701
TOBG-MED-1116_380	K03074
TOBG-MED-1116_382	K03210
TOBG-MED-1116_384	K03655
TOBG-MED-1116_387	K03313
TOBG-MED-1116_388	K00432
TOBG-MED-1116_390	NA
TOBG-MED-1116_391	K01990
TOBG-MED-1116_392	NA
TOBG-MED-1116_393	K00384
TOBG-MED-1116_394	K00812
TOBG-MED-1116_395	K03702
TOBG-MED-1116_396	NA
TOBG-MED-1116_397	K01633
TOBG-MED-1116_398	K03703
TOBG-MED-1116_399	K03703
TOBG-MED-1116_4	NA
TOBG-MED-1116_40	NA
TOBG-MED-1116_401	K00826
TOBG-MED-1116_403	NA
TOBG-MED-1116_404	K07638
TOBG-MED-1116_405	K13292
TOBG-MED-1116_406	NA
TOBG-MED-1116_407	NA
TOBG-MED-1116_408	K05810
TOBG-MED-1116_409	K00948
TOBG-MED-1116_41	NA
TOBG-MED-1116_410	K02897
TOBG-MED-1116_411	K01056
TOBG-MED-1116_412	K06942
TOBG-MED-1116_413	K00413
TOBG-MED-1116_414	K00412
TOBG-MED-1116_415	K00411
TOBG-MED-1116_416	K03216
TOBG-MED-1116_418	NA
TOBG-MED-1116_419	K00919
TOBG-MED-1116_42	K01627
TOBG-MED-1116_421	K21929
TOBG-MED-1116_423	K00571
TOBG-MED-1116_424	NA
TOBG-MED-1116_428	K03529
TOBG-MED-1116_429	NA
TOBG-MED-1116_43	NA
TOBG-MED-1116_430	K02126
TOBG-MED-1116_431	K02110
TOBG-MED-1116_432	K02109
TOBG-MED-1116_433	K02109
TOBG-MED-1116_434	NA
TOBG-MED-1116_438	K14998
TOBG-MED-1116_439	K02262
TOBG-MED-1116_440	K02258
TOBG-MED-1116_442	K02256
TOBG-MED-1116_444	K03568
TOBG-MED-1116_446	K01560
TOBG-MED-1116_447	K03179
TOBG-MED-1116_448	K03592
TOBG-MED-1116_452	NA
TOBG-MED-1116_455	K03601
TOBG-MED-1116_458	NA
TOBG-MED-1116_459	K08316
TOBG-MED-1116_46	K02510
TOBG-MED-1116_460	NA
TOBG-MED-1116_463	K01870
TOBG-MED-1116_464	K11753
TOBG-MED-1116_465	NA
TOBG-MED-1116_466	K00822
TOBG-MED-1116_468	K04077
TOBG-MED-1116_469	K03427
TOBG-MED-1116_470	NA
TOBG-MED-1116_471	NA
TOBG-MED-1116_472	NA
TOBG-MED-1116_473	NA
TOBG-MED-1116_474	NA
TOBG-MED-1116_475	NA
TOBG-MED-1116_476	K07120
TOBG-MED-1116_477	K07304
TOBG-MED-1116_478	NA
TOBG-MED-1116_479	NA
TOBG-MED-1116_483	NA
TOBG-MED-1116_484	K01679
TOBG-MED-1116_485	NA
TOBG-MED-1116_486	NA
TOBG-MED-1116_487	NA
TOBG-MED-1116_489	K03499
TOBG-MED-1116_49	NA
TOBG-MED-1116_490	NA
TOBG-MED-1116_491	K13598
TOBG-MED-1116_492	K12506
TOBG-MED-1116_496	K03644
TOBG-MED-1116_5	NA
TOBG-MED-1116_500	K01937
TOBG-MED-1116_501	K03075
TOBG-MED-1116_503	NA
TOBG-MED-1116_506	K00766
TOBG-MED-1116_507	NA
TOBG-MED-1116_509	K01885
TOBG-MED-1116_510	K01647
TOBG-MED-1116_512	K09949
TOBG-MED-1116_513	K00677
TOBG-MED-1116_516	K07277
TOBG-MED-1116_517	K00099
TOBG-MED-1116_52	NA
TOBG-MED-1116_520	K02838
TOBG-MED-1116_521	K02357
TOBG-MED-1116_522	K02967
TOBG-MED-1116_523	K02337
TOBG-MED-1116_524	NA
TOBG-MED-1116_525	K09808
TOBG-MED-1116_526	K01881
TOBG-MED-1116_528	K12574
TOBG-MED-1116_53	NA
TOBG-MED-1116_531	K00343
TOBG-MED-1116_532	K00342
TOBG-MED-1116_533	K00341
TOBG-MED-1116_535	K00339
TOBG-MED-1116_536	K00338
TOBG-MED-1116_537	K00337
TOBG-MED-1116_538	NA
TOBG-MED-1116_539	NA
TOBG-MED-1116_54	NA
TOBG-MED-1116_541	K00333
TOBG-MED-1116_543	K00331
TOBG-MED-1116_544	K00330
TOBG-MED-1116_545	NA
TOBG-MED-1116_547	NA
TOBG-MED-1116_548	NA
TOBG-MED-1116_55	NA
TOBG-MED-1116_551	K06206
TOBG-MED-1116_552	K01265
TOBG-MED-1116_554	NA
TOBG-MED-1116_555	K01923
TOBG-MED-1116_557	K23265
TOBG-MED-1116_558	K23269
TOBG-MED-1116_560	K07390
TOBG-MED-1116_562	K01426
TOBG-MED-1116_564	NA
TOBG-MED-1116_565	NA
TOBG-MED-1116_567	NA
TOBG-MED-1116_568	NA
TOBG-MED-1116_569	NA
TOBG-MED-1116_57	K03465
TOBG-MED-1116_570	NA
TOBG-MED-1116_572	K01649
TOBG-MED-1116_573	K01883
TOBG-MED-1116_574	NA
TOBG-MED-1116_575	K01626
TOBG-MED-1116_576	K00820
TOBG-MED-1116_577	K04042
TOBG-MED-1116_578	K01091
TOBG-MED-1116_579	K03417
TOBG-MED-1116_58	K03593
TOBG-MED-1116_580	NA
TOBG-MED-1116_583	NA
TOBG-MED-1116_584	K00526
TOBG-MED-1116_585	K00525
TOBG-MED-1116_586	K15778
TOBG-MED-1116_587	NA
TOBG-MED-1116_589	K05366
TOBG-MED-1116_59	K04088
TOBG-MED-1116_590	NA
TOBG-MED-1116_594	K02160
TOBG-MED-1116_595	K01961
TOBG-MED-1116_597	K11352
TOBG-MED-1116_599	K01876
TOBG-MED-1116_60	K04087
TOBG-MED-1116_600	NA
TOBG-MED-1116_601	NA
TOBG-MED-1116_605	K00940
TOBG-MED-1116_607	NA
TOBG-MED-1116_608	NA
TOBG-MED-1116_609	K04744
TOBG-MED-1116_612	NA
TOBG-MED-1116_614	K02078
TOBG-MED-1116_616	NA
TOBG-MED-1116_62	K04771
TOBG-MED-1116_621	K02314
TOBG-MED-1116_622	K01775
TOBG-MED-1116_623	K07003
TOBG-MED-1116_624	K03558
TOBG-MED-1116_625	K00764
TOBG-MED-1116_626	NA
TOBG-MED-1116_629	NA
TOBG-MED-1116_630	K00606
TOBG-MED-1116_632	K01951
TOBG-MED-1116_633	NA
TOBG-MED-1116_634	K00088
TOBG-MED-1116_635	K02959
TOBG-MED-1116_636	K03106
TOBG-MED-1116_637	K01778
TOBG-MED-1116_639	K03110
TOBG-MED-1116_64	NA
TOBG-MED-1116_641	NA
TOBG-MED-1116_645	NA
TOBG-MED-1116_646	NA
TOBG-MED-1116_647	NA
TOBG-MED-1116_65	K01652
TOBG-MED-1116_650	K11473
TOBG-MED-1116_651	K11472
TOBG-MED-1116_652	K00104
TOBG-MED-1116_653	NA
TOBG-MED-1116_657	K02199
TOBG-MED-1116_658	K02198
TOBG-MED-1116_66	K01653
TOBG-MED-1116_661	K11940
TOBG-MED-1116_662	NA
TOBG-MED-1116_663	K06190
TOBG-MED-1116_664	NA
TOBG-MED-1116_666	NA
TOBG-MED-1116_669	K01940
TOBG-MED-1116_67	K00053
TOBG-MED-1116_670	K13256
TOBG-MED-1116_673	K16052
TOBG-MED-1116_674	K01409
TOBG-MED-1116_675	NA
TOBG-MED-1116_676	K01895
TOBG-MED-1116_68	K01649
TOBG-MED-1116_682	NA
TOBG-MED-1116_683	NA
TOBG-MED-1116_684	K04043
TOBG-MED-1116_685	K03687
TOBG-MED-1116_686	K00989
TOBG-MED-1116_689	K07056
TOBG-MED-1116_69	K03569
TOBG-MED-1116_692	K00029
TOBG-MED-1116_693	K03980
TOBG-MED-1116_694	K01867
TOBG-MED-1116_697	K03796
TOBG-MED-1116_699	K03711
TOBG-MED-1116_70	K03570
TOBG-MED-1116_700	K06168
TOBG-MED-1116_702	K07042
TOBG-MED-1116_703	K06189
TOBG-MED-1116_704	K00789
TOBG-MED-1116_705	NA
TOBG-MED-1116_706	K02600
TOBG-MED-1116_707	K02519
TOBG-MED-1116_71	NA
TOBG-MED-1116_711	K00962
TOBG-MED-1116_712	K00208
TOBG-MED-1116_713	NA
TOBG-MED-1116_714	K01716
TOBG-MED-1116_716	NA
TOBG-MED-1116_717	K01520
TOBG-MED-1116_718	K13038
TOBG-MED-1116_721	K10563
TOBG-MED-1116_722	K02313
TOBG-MED-1116_723	K02338
TOBG-MED-1116_725	NA
TOBG-MED-1116_726	K15011
TOBG-MED-1116_727	K01480
TOBG-MED-1116_728	K00809
TOBG-MED-1116_73	K01589
TOBG-MED-1116_733	K01990
TOBG-MED-1116_734	K02335
TOBG-MED-1116_735	K14981
TOBG-MED-1116_737	K01251
TOBG-MED-1116_738	K06925
TOBG-MED-1116_739	K07102
TOBG-MED-1116_74	K01588
TOBG-MED-1116_740	NA
TOBG-MED-1116_742	K03926
TOBG-MED-1116_744	NA
TOBG-MED-1116_745	NA
TOBG-MED-1116_746	K01011
TOBG-MED-1116_747	K15270
TOBG-MED-1116_748	K01247
TOBG-MED-1116_749	K07101
TOBG-MED-1116_750	K06901
TOBG-MED-1116_751	K01919
TOBG-MED-1116_752	K01920
TOBG-MED-1116_753	NA
TOBG-MED-1116_754	K01354
TOBG-MED-1116_755	NA
TOBG-MED-1116_757	NA
TOBG-MED-1116_759	NA
TOBG-MED-1116_760	NA
TOBG-MED-1116_763	NA
TOBG-MED-1116_764	K11418
TOBG-MED-1116_765	NA
TOBG-MED-1116_77	NA
TOBG-MED-1116_770	K01740
TOBG-MED-1116_771	NA
TOBG-MED-1116_772	NA
TOBG-MED-1116_773	NA
TOBG-MED-1116_774	K00278
TOBG-MED-1116_775	K00824
TOBG-MED-1116_776	K03320
TOBG-MED-1116_777	NA
TOBG-MED-1116_779	NA
TOBG-MED-1116_782	K07080
TOBG-MED-1116_783	NA
TOBG-MED-1116_784	K13796
TOBG-MED-1116_788	NA
