CDS	DNA	RNA
TOBG-MED-1076_1019	2	0
TOBG-MED-1076_1027	1	0
TOBG-MED-1076_1028	4	0
TOBG-MED-1076_1032	1	0
TOBG-MED-1076_1038	1	0
TOBG-MED-1076_108	1	0
TOBG-MED-1076_1086	1	0
TOBG-MED-1076_1092	1	0
TOBG-MED-1076_1093	1	0
TOBG-MED-1076_1101	2	7
TOBG-MED-1076_1111	1	0
TOBG-MED-1076_1117	1	0
TOBG-MED-1076_1122	2	0
TOBG-MED-1076_1127	1	0
TOBG-MED-1076_1131	3	1
TOBG-MED-1076_1144	1	0
TOBG-MED-1076_116	1	0
TOBG-MED-1076_1163	2	0
TOBG-MED-1076_1186	1	0
TOBG-MED-1076_1192	1	0
TOBG-MED-1076_1193	3	0
TOBG-MED-1076_1195	2	10
TOBG-MED-1076_1200	1	0
TOBG-MED-1076_1245	1	0
TOBG-MED-1076_1246	4	0
TOBG-MED-1076_1248	1	2
TOBG-MED-1076_1249	5	0
TOBG-MED-1076_1252	1	0
TOBG-MED-1076_1253	3	0
TOBG-MED-1076_1298	2	2
TOBG-MED-1076_13	3	11
TOBG-MED-1076_1365	1	0
TOBG-MED-1076_14	1	0
TOBG-MED-1076_1403	2	0
TOBG-MED-1076_1404	1	0
TOBG-MED-1076_1409	2	0
TOBG-MED-1076_1418	1	0
TOBG-MED-1076_1423	3	0
TOBG-MED-1076_1424	1	0
TOBG-MED-1076_143	1	0
TOBG-MED-1076_15	2	0
TOBG-MED-1076_177	1	0
TOBG-MED-1076_178	2	0
TOBG-MED-1076_183	1	8
TOBG-MED-1076_188	1	0
TOBG-MED-1076_200	1	0
TOBG-MED-1076_225	1	0
TOBG-MED-1076_227	1	1
TOBG-MED-1076_242	1	0
TOBG-MED-1076_244	4	0
TOBG-MED-1076_245	5	0
TOBG-MED-1076_252	9	6
TOBG-MED-1076_253	5	7
TOBG-MED-1076_256	4	0
TOBG-MED-1076_257	2	0
TOBG-MED-1076_258	1	0
TOBG-MED-1076_26	3	0
TOBG-MED-1076_265	5	89
TOBG-MED-1076_272	1	0
TOBG-MED-1076_278	1	381
TOBG-MED-1076_284	1	0
TOBG-MED-1076_31	1	0
TOBG-MED-1076_312	1	0
TOBG-MED-1076_326	1	0
TOBG-MED-1076_338	5	22
TOBG-MED-1076_348	3	0
TOBG-MED-1076_353	1	0
TOBG-MED-1076_364	3	0
TOBG-MED-1076_377	2	26
TOBG-MED-1076_386	1	0
TOBG-MED-1076_413	2	0
TOBG-MED-1076_426	1	0
TOBG-MED-1076_429	1	0
TOBG-MED-1076_435	1	0
TOBG-MED-1076_443	1	152
TOBG-MED-1076_458	2	0
TOBG-MED-1076_464	1	0
TOBG-MED-1076_48	1	0
TOBG-MED-1076_513	1	0
TOBG-MED-1076_519	44	0
TOBG-MED-1076_521	1	0
TOBG-MED-1076_53	2	0
TOBG-MED-1076_530	2	0
TOBG-MED-1076_535	202	54
TOBG-MED-1076_545	2	0
TOBG-MED-1076_549	1	11
TOBG-MED-1076_55	4	0
TOBG-MED-1076_561	3	0
TOBG-MED-1076_579	1	4
TOBG-MED-1076_580	3	0
TOBG-MED-1076_662	1	0
TOBG-MED-1076_663	1	0
TOBG-MED-1076_664	3	3
TOBG-MED-1076_676	1	0
TOBG-MED-1076_719	3	12
TOBG-MED-1076_720	21	0
TOBG-MED-1076_745	1	0
TOBG-MED-1076_747	4	4
TOBG-MED-1076_748	1	0
TOBG-MED-1076_755	3	3
TOBG-MED-1076_756	2	0
TOBG-MED-1076_770	3	0
TOBG-MED-1076_792	2	0
TOBG-MED-1076_836	3	0
TOBG-MED-1076_841	1	0
TOBG-MED-1076_856	2	12
TOBG-MED-1076_86	3	8
TOBG-MED-1076_869	1	0
TOBG-MED-1076_876	1	0
TOBG-MED-1076_88	1	0
TOBG-MED-1076_885	2	0
TOBG-MED-1076_893	1	0
TOBG-MED-1076_901	1	0
TOBG-MED-1076_905	2	0
TOBG-MED-1076_98	1	0
TOBG-MED-1094_1079	1	0
TOBG-MED-1094_1080	2	0
TOBG-MED-1094_1081	1	0
TOBG-MED-1094_1108	2	0
TOBG-MED-1094_1259	2	0
TOBG-MED-1094_1274	1	0
TOBG-MED-1094_1311	1	0
TOBG-MED-1094_1359	1	0
TOBG-MED-1094_138	1	3
TOBG-MED-1094_1399	1	0
TOBG-MED-1094_175	0.5	0
TOBG-MED-1094_217	7.923	0
TOBG-MED-1094_218	2.5	0
TOBG-MED-1094_219	9	5
TOBG-MED-1094_220	0.5	0
TOBG-MED-1094_223	1.5	0
TOBG-MED-1094_225	0.5	0
TOBG-MED-1094_227	4	0
TOBG-MED-1094_229	7	0
TOBG-MED-1094_292	1	4
TOBG-MED-1094_306	1	0
TOBG-MED-1094_32	1	0
TOBG-MED-1094_336	1	0
TOBG-MED-1094_353	1	0
TOBG-MED-1094_465	1	0
TOBG-MED-1094_467	1	0
TOBG-MED-1094_487	0.5	0
TOBG-MED-1094_513	1	0
TOBG-MED-1094_535	1	0
TOBG-MED-1094_539	4	0
TOBG-MED-1094_540	1	0
TOBG-MED-1094_541	1	0
TOBG-MED-1094_544	1	0
TOBG-MED-1094_548	2	0
TOBG-MED-1094_549	1	0
TOBG-MED-1094_550	1	0
TOBG-MED-1094_551	1	0
TOBG-MED-1094_583	1	3
TOBG-MED-1094_66	1	0
TOBG-MED-1094_673	7.923	0
TOBG-MED-1094_674	2.5	0
TOBG-MED-1094_676	0.5	0
TOBG-MED-1094_679	1.5	0
TOBG-MED-1094_681	0.5	0
TOBG-MED-1094_787	5	0
TOBG-MED-1094_795	2	0
